%time x_sig v_sig adc_sig k_sig
0.01364 -4.07085099709e-06 -0.00629579107983 -2 7
0.01365 -4.19577393482e-06 -0.0124922937734 -5 7
0.01366 -4.38069179014e-06 -0.0184917855317 -7 7
0.01367 -4.62268829799e-06 -0.0241996507856 -9 7
0.01368 -4.9179470289e-06 -0.0295258730905 -11 7
0.01369 -5.26181157629e-06 -0.0343864547388 -13 7
0.0137 -5.64885899083e-06 -0.0387047414545 -15 7
0.01371 -6.07298530359e-06 -0.0424126312763 -15 7
0.01372 -6.52750178926e-06 -0.0454516485668 -15 7
0.01373 -7.00524045134e-06 -0.0477738662079 -15 7
0.01374 -7.49866706574e-06 -0.0493426614402 -15 7
0.01375 -8e-06 -0.0501332934257 -15 7
0.01376 -8.50133293426e-06 -0.0501332934257 -15 7
0.01377 -8.99475954866e-06 -0.0493426614402 -15 7
0.01378 -9.47249821074e-06 -0.0477738662079 -15 7
0.01379 -9.92701469641e-06 -0.0454516485668 -15 7
0.0138 -1.03511410092e-05 -0.0424126312763 -15 7
0.01381 -1.07381884237e-05 -0.0387047414545 -15 7
0.01382 -1.10820529711e-05 -0.0343864547388 -13 7
0.01383 -1.1377311702e-05 -0.0295258730905 -11 7
0.01384 -1.16193082099e-05 -0.0241996507856 -9 7
0.01385 -1.18042260652e-05 -0.0184917855317 -7 7
0.01386 -1.19291490029e-05 -0.0124922937734 -5 7
0.01387 -1.19921069137e-05 -0.00629579107983 -2 7
0.01388 -1.19921069137e-05 3.38813178902e-16 0 7
0.01389 -1.19291490029e-05 0.00629579107983 2 7
0.0139 -1.18042260652e-05 0.0124922937734 5 7
0.01391 -1.16193082099e-05 0.0184917855317 7 7
0.01392 -1.1377311702e-05 0.0241996507856 9 7
0.01393 -1.10820529711e-05 0.0295258730905 11 7
0.01394 -1.07381884237e-05 0.0343864547388 13 7
0.01395 -1.03511410092e-05 0.0387047414545 15 7
0.01396 -9.92701469641e-06 0.0424126312763 15 7
0.01397 -9.47249821074e-06 0.0454516485668 15 7
0.01398 -8.99475954866e-06 0.0477738662079 15 7
0.01399 -8.50133293426e-06 0.0493426614402 15 7
0.014 -8e-06 0.0501332934257 15 6
0.01401 -7.49866706574e-06 0.0501332934257 10 6
0.01402 -7.00524045134e-06 0.0493426614402 9 6
0.01403 -6.52750178926e-06 0.0477738662079 9 6
0.01404 -6.07298530359e-06 0.0454516485668 9 6
0.01405 -5.64885899083e-06 0.0424126312763 8 6
0.01406 -5.26181157629e-06 0.0387047414545 7 6
0.01407 -4.9179470289e-06 0.0343864547388 7 6
0.01408 -4.62268829799e-06 0.0295258730905 6 6
0.01409 -4.38069179014e-06 0.0241996507856 5 6
0.0141 -4.19577393482e-06 0.0184917855317 4 6
0.01411 -4.07085099709e-06 0.0124922937734 2 6
0.01412 -4.00789308629e-06 0.00629579107983 1 6
0.01413 -4.00789308629e-06 -5.08219768353e-16 0 6
0.01414 -4.07085099709e-06 -0.00629579107983 -1 6
0.01415 -4.19577393482e-06 -0.0124922937734 -2 6
0.01416 -4.38069179014e-06 -0.0184917855317 -4 6
0.01417 -4.62268829799e-06 -0.0241996507856 -5 6
0.01418 -4.9179470289e-06 -0.0295258730905 -6 6
0.01419 -5.26181157629e-06 -0.0343864547388 -7 6
0.0142 -5.64885899083e-06 -0.0387047414545 -7 6
0.01421 -6.07298530359e-06 -0.0424126312763 -8 6
0.01422 -6.52750178926e-06 -0.0454516485668 -9 6
0.01423 -7.00524045134e-06 -0.0477738662079 -9 6
0.01424 -7.49866706574e-06 -0.0493426614402 -9 6
0.01425 -8e-06 -0.0501332934257 -10 6
0.01426 -8.50133293426e-06 -0.0501332934257 -10 6
0.01427 -8.99475954866e-06 -0.0493426614402 -9 6
0.01428 -9.47249821074e-06 -0.0477738662079 -9 6
0.01429 -9.92701469641e-06 -0.0454516485668 -9 6
0.0143 -1.03511410092e-05 -0.0424126312763 -8 6
0.01431 -1.07381884237e-05 -0.0387047414545 -7 6
0.01432 -1.10820529711e-05 -0.0343864547388 -7 6
0.01433 -1.1377311702e-05 -0.0295258730905 -6 6
0.01434 -1.16193082099e-05 -0.0241996507856 -5 6
0.01435 -1.18042260652e-05 -0.0184917855317 -4 6
0.01436 -1.19291490029e-05 -0.0124922937734 -2 6
0.01437 -1.19921069137e-05 -0.00629579107983 -1 6
0.01438 -1.19921069137e-05 3.38813178902e-16 0 6
