%time in out1 out2
1.4 1 0.965494919097 0.359196432359
1.41 1 0.965592547227 0.361532531808
1.42 1 0.965689896521 0.363880776999
1.43 1 0.965786967943 0.366240814361
1.44 1 0.965883762444 0.368612294725
1.45 1 0.96598028096 0.370994873279
1.46 1 0.966076524416 0.373388209533
1.47 1 0.966172493725 0.375791967276
1.48 1 0.966268189787 0.378205814538
1.49 1 0.966363613494 0.380629423554
1.5 1 0.966458765726 0.383062470722
1.51 1 0.966553647353 0.385504636564
1.52 1 0.966648259239 0.387955605694
1.53 1 0.966742602235 0.390415066774
1.54 1 0.966836677187 0.39288271248
1.55 1 0.966930484932 0.395358239464
1.56 1 0.9670240263 0.397841348315
1.57 1 0.967117302112 0.400331743527
1.58 1 0.967210313186 0.402829133458
1.59 1 0.96730306033 0.405333230298
